class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
13266,1539019,Ir2.4 Ru1.6,Ir2.4Ru1.6,"Ir,Ru",Fm-3m,225
13267,1528151,Yb2.4 Y1.6,Y1.6Yb2.4,"Y,Yb",P6_3/mmc,194
13268,1522214,Sc4 Re8,Re2Sc,"Re,Sc",P6_3/mmc,194
13269,4343799,K4 Br4 O16,BrKO4,"Br,K,O",Pnma,62
13270,2107324,Er24.0 Cr8 S44,Cr2Er6S11,"Cr,Er,S",Cmc2_1,36
13271,4002009,Yb4 Al4 B16,AlB4Yb,"Al,B,Yb",Cmmm,65
13272,1523237,Hf4.0 Ti6.0 Ga6,Ga3Hf2Ti3,"Ga,Hf,Ti",P6_3/mcm,193
13273,1527795,Ba2 Sn2 Hg2,BaHgSn,"Ba,Hg,Sn",P6_3/mmc,194
13274,9009288,Cs8 Pt4 Cl16,Cl4Cs2Pt,"Cl,Cs,Pt",Cmcm,63
13275,1007060,Cu8 P16 O48,CuO6P2,"Cu,O,P",C2/c,15
13276,7222548,Tb8 Te16 O44,O11Tb2Te4,"O,Tb,Te",C2/c,15
13277,2310651,Zn4 Sn4 As8,As2SnZn,"As,Sn,Zn",I-42d,122
13278,4110642,Fe4 H80 C160,C40FeH20,"C,Fe,H",P2_1/c,14
13279,1510307,Sn16 Au4,AuSn4,"Au,Sn",Aea2,41
13280,1536645,Ca112 Mn8 P88,Ca14MnP11,"Ca,Mn,P",I4_1/acd,142
13281,1531839,Tb8 Ti12 Si16,Si4Tb2Ti3,"Si,Tb,Ti",P4_12_12,92
13282,8104027,La48.24 Fe16.5 S90,Fe16.5La48.24S90,"Fe,La,S",R3m,160
13283,1509394,Li8 In4 Ag4,AgInLi2,"Ag,In,Li",Fd-3m,227
13284,4320662,Nd4 Ga32 Ru7.432,Ga32Nd4Ru7.432,"Ga,Nd,Ru",Pbam,55
13285,1510171,Y2 Ge2 Au2,AuGeY,"Au,Ge,Y",P6_3mc,186
13286,9015334,Cr12 Fe36 Mo10,Cr6Fe18Mo5,"Cr,Fe,Mo",I-43m,217
13287,1534438,Fe2 Se2 Cl14,Cl7FeSe,"Cl,Fe,Se",P1,1
13288,1530514,Na1.798 Mo12 O34,Mo12Na1.798O34,"Mo,Na,O",C2,5
13289,4026816,Fe8 N16 F40,F5FeN2,"F,Fe,N",Pbcn,60
13290,1528738,Cr1 Re1 O4,CrO4Re,"Cr,O,Re",P4_2/mnm,136
13291,1562616,La0.452 Ta12 O32,La0.452O32Ta12,"La,O,Ta",Ibam,72
13292,7222891,Al8 I24 Cl48,AlCl6I3,"Al,Cl,I",C2/c,15
13293,9011574,Cr2,Cr,Cr,P6_3/mmc,194
13294,1538589,Y1 Hg1,HgY,"Hg,Y",Pm-3m,221
13295,1509274,Cr16 Ag8 Te32,AgCr2Te4,"Ag,Cr,Te",Fd-3m,227
13296,1533874,Th4 Al2.56 Ge4.48,Al2.56Ge4.48Th4,"Al,Ge,Th",I4_1/amd,141
13297,1529607,Yb30 C38,C19Yb15,"C,Yb",P-42_1c,114
13298,1522868,Hf8 Ga16,Ga2Hf,"Ga,Hf",I4_1/amd,141
13299,4001166,Gd12 Si6 Ni3.336,Gd12Ni3.336Si6,"Gd,Ni,Si",P6_3/m,176
13300,1011029,Na2 N2 O6,NNaO3,"N,Na,O",R-3c,167
13301,1530788,Ce4 Ni20 Sn4,CeNi5Sn,"Ce,Ni,Sn",P6_3/mmc,194
13302,1525435,Sc4 O4 F4,FOSc,"F,O,Sc",P2_1/c,14
13303,5910077,K1 Zn1 F3,F3KZn,"F,K,Zn",Pm-3m,221
13304,1535757,Tl2 Cu2 O10.24,Cu2O10.24Tl2,"Cu,O,Tl",P2_1/m,11
13305,1533943,Nb8 Co2 P2,CoNb4P,"Co,Nb,P",P4/mcc,124
13306,4115252,Cd12 In56 S108,Cd3In14S27,"Cd,In,S",P4_2/nmc,137
13307,1527233,Ca3 Pb1 N1,Ca3NPb,"Ca,N,Pb",Pm-3m,221
13308,4321154,Er4 Te4 As4,AsErTe,"As,Er,Te",Pnma,62
13309,4113416,Ga80 S152,Ga10S19,"Ga,S",C2/c,15
13310,1525074,Ta8 Co16,Co2Ta,"Co,Ta",Fd-3m,227
13311,1523449,Nd4 Zn8,NdZn2,"Nd,Zn",Imma,74
13312,1524321,Mg8 Zn8 Cu8,CuMgZn,"Cu,Mg,Zn",Fd-3m,227
13313,1533955,Yb44 Ge40,Ge10Yb11,"Ge,Yb",I4/mmm,139
13314,1524702,Gd3 Er3 Ni6,ErGdNi2,"Er,Gd,Ni",P2_1/m,11
13315,1536151,Tm12.565 Ni25.225 As19,As19Ni25.225Tm12.565,"As,Ni,Tm",P-6,174
13316,1541697,Al7.9968 Si88.0032 O192,Al7.9968O192Si88.0032,"Al,O,Si",I-4m2,119
13317,1562112,Ba4 Te2 O2,Ba2OTe,"Ba,O,Te",P4/nmm,129
13318,1510580,K8 Au12 S10,Au6K4S5,"Au,K,S",P-62c,190
13319,1004089,Rb8 W12.8 O48,O48Rb8W12.8,"O,Rb,W",Fd-3m,227
13320,2002273,Sr12 Nd16 O36,Nd4O9Sr3,"Nd,O,Sr",Cc,9
13321,1009054,Y1 B6,B6Y,"B,Y",Pm-3m,221
13322,7222861,Rb8 Sn4 Cl24,Cl6Rb2Sn,"Cl,Rb,Sn",Fm-3m,225
13323,1509493,Rb48 Ag16 O32,AgO2Rb3,"Ag,O,Rb",P2_12_12_1,19
13324,1525531,Co1 Pt1,CoPt,"Co,Pt",P4/mmm,123
13325,8103946,K12 Sb4 S16,K3S4Sb,"K,S,Sb",Cmc2_1,36
13326,1536983,U4 Cl8 O52,Cl2O13U,"Cl,O,U",P2_1/c,14
13327,1531001,Na1 N3,N3Na,"N,Na",Pm-3m,221
13328,7226121,Ca4 Bi8,Bi2Ca,"Bi,Ca",Cmcm,63
13329,9016321,K2 I6 O18,I3KO9,"I,K,O",P-1,2
13330,8104529,Yb4 Al8 Ni4,Al2NiYb,"Al,Ni,Yb",Cmcm,63
13331,1540902,Ce1 Al2 Pt3,Al2CePt3,"Al,Ce,Pt",P6/mmm,191
13332,9015130,U4 S8 O48,O12S2U,"O,S,U",Pnma,62
13333,2106139,Y1 Cu5,Cu5Y,"Cu,Y",P6/mmm,191
13334,2310670,Cs6 Cd6 Cl18,CdCl3Cs,"Cd,Cl,Cs",P6_3/mmc,194
13335,2310893,Y1 Rh1,RhY,"Rh,Y",Pm-3m,221
13336,1509550,Yb3 Ag3 Sn3,AgSnYb,"Ag,Sn,Yb",P-6m2,187
13337,4517759,K8 Zr4 F23.9952,F23.9952K8Zr4,"F,K,Zr",Fm-3m,225
13338,1524535,Zr0.5 Zn0.5 Cu1,CuZn0.5Zr0.5,"Cu,Zn,Zr",Pm-3m,221
13339,4319982,Ba8 Ga16 Sb16,BaGa2Sb2,"Ba,Ga,Sb",Pnma,62
13340,1559221,Cu3.8 Sn4 Au4.2,Au4.2Cu3.8Sn4,"Au,Cu,Sn",I4/mmm,139
13341,1522065,Sm1 Al3 Pd2,Al3Pd2Sm,"Al,Pd,Sm",P6/mmm,191
13342,1527199,Y8 Be4 O16,BeO4Y2,"Be,O,Y",Pnma,62
13343,2103618,K0.0042 Ta0.0065 O0.03258,K0.0042O0.03258Ta0.0065,"K,O,Ta",Pm-3m,221
13344,1563776,Si6 Mo2 Pt4,MoPt2Si3,"Mo,Pt,Si",Pmc2_1,26
13345,4001134,Tm4 Ge8,Ge2Tm,"Ge,Tm",Cmcm,63
13346,8103016,Eu4 As4 O16,AsEuO4,"As,Eu,O",I4_1/amd,141
13347,1530351,Mg3 Nb6 O11,Mg3Nb6O11,"Mg,Nb,O",P-3m1,164
13348,2107133,V8 Hg8 O28,Hg2O7V2,"Hg,O,V",Pnma,62
13349,2106897,Ca8 Se16 O40,CaO5Se2,"Ca,O,Se",Pbca,61
13350,1535282,Nb14 B12 C6,B6C3Nb7,"B,C,Nb",Cmmm,65
13351,1538626,Mn2 Zn2 Te4,MnTe2Zn,"Mn,Te,Zn",F-43m,216
13352,9000277,Al4 Si8 O22,Al2O11Si4,"Al,O,Si",P-1,2
13353,2002196,La16 Ti16 O56,La2O7Ti2,"La,O,Ti",Pna2_1,33
13354,1523812,Ga0.7 Ni1.3,Ga0.7Ni1.3,"Ga,Ni",I4/mmm,139
13355,7222598,Sc6 Sn6 Pt6,PtScSn,"Pt,Sc,Sn",P-62c,190
13356,4324131,Zr5 Tl20 S20,S4Tl4Zr,"S,Tl,Zr",P-1,2
13357,1511092,Dy1 B1 Rh3,BDyRh3,"B,Dy,Rh",Pm-3m,221
13358,7223833,Hg4 Br4 O16,BrHgO4,"Br,Hg,O",Pbcm,57
13359,4331427,Lu1 B2 Ru3,B2LuRu3,"B,Lu,Ru",P6/mmm,191
13360,1563047,Dy6.36 Cu16.92 S18,Cu16.92Dy6.36S18,"Cu,Dy,S",R-3,148
13361,4307921,Gd6 Ge2.99928 I6,Gd6Ge2.99928I6,"Gd,Ge,I",R-3m,166
