class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
0,1522982,Mn4 Ni8 Sn4,MnNi2Sn,"Mn,Ni,Sn",F-43m,216
1,1525299,V1 Fe0.9 Co2.1,Co2.1Fe0.9V,"Co,Fe,V",Pm-3m,221
2,1525266,Ga1 Fe0.5 Co0.5,Co0.5Fe0.5Ga,"Co,Fe,Ga",Pm-3m,221
3,7115402,Ag4 C16 N12,AgC4N3,"Ag,C,N",Ima2,46
4,1011037,Co2 S2,CoS,"Co,S",P6_3/mmc,194
5,9012383,Ni30 As12,As2Ni5,"As,Ni",P6_3cm,185
6,1509809,Li4 Ag8 Ge4,Ag2GeLi,"Ag,Ge,Li",Fm-3m,225
7,9014900,Na1 S1,NaS,"Na,S",R-3m,166
8,4308986,Tl4 C4 O8,CO2Tl,"C,O,Tl",P2_1/c,14
9,1007054,U4 Ge4 O16,GeO4U,"Ge,O,U",I4_1/a,88
10,1514089,Li4 O4,LiO,"Li,O",P6_3/mmc,194
11,2106901,Si16 Pb32 O64,O4Pb2Si,"O,Pb,Si",C2,5
12,1521866,Tb2 Co4 Si4,Co2Si2Tb,"Co,Si,Tb",I4/mmm,139
13,1542133,Ba12 Fe4 S20,Ba3FeS5,"Ba,Fe,S",Pnma,62
14,7129000,Ca4 Ni2 N4,Ca2N2Ni,"Ca,N,Ni",I4/mmm,139
15,1532942,Sm6 Ge8 Ru4,Ge4Ru2Sm3,"Ge,Ru,Sm",C2/m,12
16,1522516,Mo1.73 Ir0.27,Ir0.27Mo1.73,"Ir,Mo",Im-3m,229
17,1530319,Mn4 P4 O14,Mn2O7P2,"Mn,O,P",C2/m,12
18,8104411,Rb12 Al2 Sb6,AlRb6Sb3,"Al,Rb,Sb",P2_1/m,11
19,1008443,Nd4 Fe4 Si8,FeNdSi2,"Fe,Nd,Si",Cmcm,63
20,1529971,K4 Mo4 O16,KMoO4,"K,Mo,O",P-1,2
21,1530335,U12 Zn102,U2Zn17,"U,Zn",P-6m2,187
22,4001329,Hf8 Bi8 O28,Bi2Hf2O7,"Bi,Hf,O",I4_122,98
23,9011194,U4 Te4 O20,O5TeU,"O,Te,U",Pbcm,57
24,2020249,Nb4 Cl20,Cl5Nb,"Cl,Nb",P2_1/c,14
25,1509956,Yb3.7 Al19.876 Ag14.124,Ag14.124Al19.876Yb3.7,"Ag,Al,Yb",P6_3/mmc,194
26,8103662,P8 Pb12 O32,O8P2Pb3,"O,P,Pb",C2/c,15
27,2107517,Sn3.9264 Se4,Se4Sn3.9264,"Se,Sn",Pnma,62
28,1542159,Ni12 Te8 O32,Ni3O8Te2,"Ni,O,Te",P6_3mc,186
29,1527601,Na4 Cr6 O18,Cr3Na2O9,"Cr,Na,O",P2_1/m,11
30,1509446,Li8 Ag4 Sb4,AgLi2Sb,"Ag,Li,Sb",Fd-3m,227
31,2017580,Ce6 Mg2.692 Zn19.308,Ce6Mg2.692Zn19.308,"Ce,Mg,Zn",Immm,71
32,9008932,Fe4 P4,FeP,"Fe,P",Pnma,62
33,1528931,Sm8 Ga10.48 Ge11.52,Ga10.48Ge11.52Sm8,"Ga,Ge,Sm",Cmmm,65
34,1534511,Mo30 S38,Mo15S19,"Mo,S",P6_3/m,176
35,9016399,Hg2 Pt4 Se6,HgPt2Se3,"Hg,Pt,Se",C2/m,12
36,1535311,Na4 In2.68 Bi4,Bi4In2.68Na4,"Bi,In,Na",Pnma,62
37,1100890,Fe2 H40.0 C52,C26FeH20,"C,Fe,H",P-1,2
38,2002403,Cu8 W4 O16,Cu2O4W,"Cu,O,W",P1,1
39,1005027,Sr6 Ge4 N4,Ge2N2Sr3,"Ge,N,Sr",P2_1/m,11
40,9005936,Mn4 S4,MnS,"Mn,S",Fm-3m,225
41,2002359,Nb8 Ni16 O36,Nb2Ni4O9,"Nb,Ni,O",Pbcn,60
42,2104406,Bi12 Mo4,Bi3Mo,"Bi,Mo",P2_1/m,11
43,4002711,Eu4 In4 Ag20,Ag5EuIn,"Ag,Eu,In",Pnma,62
44,4001741,Gd18 B18 O54,BGdO3,"B,Gd,O",R32,155
45,4327895,Li4 Nd4 Ge8,Ge2LiNd,"Ge,Li,Nd",Pnma,62
46,1510582,Sm8 Au48,Au6Sm,"Au,Sm",P4_2/ncm,138
47,1539092,Bi2 Br2 O2,BiBrO,"Bi,Br,O",P4/nmm,129
48,9007973,Na6 Y2 Cl12,Cl6Na3Y,"Cl,Na,Y",P2_1/c,14
49,1533452,Y4 P12 O36,O9P3Y,"O,P,Y",P2_1/m,11
50,9010920,Bi8 Pb4 S16,Bi2PbS4,"Bi,Pb,S",Pnma,62
51,4031566,Rh16 C40 O38,C20O19Rh8,"C,O,Rh",P-1,2
52,2014743,Hg2 H20 C24,C12H10Hg,"C,H,Hg",P2_1/c,14
53,1527099,Cs2 Ni2 F6,CsF3Ni,"Cs,F,Ni",P6_3/mmc,194
54,1524971,Nd0.6 Tm0.4 Co5,Co5Nd0.6Tm0.4,"Co,Nd,Tm",P6/mmm,191
55,1528700,Sr4 Ca4 Pb4,CaPbSr,"Ca,Pb,Sr",Pnma,62
56,2101049,W6 O16,O8W3,"O,W",C222,21
57,1522830,Nb0.02 Re1.98,Nb0.02Re1.98,"Nb,Re",P6_3/mmc,194
58,1548811,Ni1 H2 O2,H2NiO2,"H,Ni,O",P-3m1,164
59,9003682,Mn20 Si20 O60,MnO3Si,"Mn,O,Si",P-1,2
60,1526736,Ho8 Ge16 Pt8,Ge2HoPt,"Ge,Ho,Pt",Immm,71
61,5910106,Te8 Ru4,RuTe2,"Ru,Te",Pa-3,205
62,9008793,Tl1 Br1,BrTl,"Br,Tl",Pm-3m,221
63,4314516,Er8 Ga24 Fe1.336,Er8Fe1.336Ga24,"Er,Fe,Ga",Im-3m,229
64,1538438,Hf2 Ge2 Se2,GeHfSe,"Ge,Hf,Se",P4/nmm,129
65,7101735,Na5.702 Ge24.617,Ge24.617Na5.702,"Ge,Na",P6/m,175
66,8100914,Ca4 Pb2 Au4,Au2Ca2Pb,"Au,Ca,Pb",P4/mbm,127
67,2106097,Gd4.2 Y1.8 Ni6,Gd4.2Ni6Y1.8,"Gd,Ni,Y",P2_1/m,11
68,1535257,Nb4 Cl12 O4,Cl3NbO,"Cl,Nb,O",P-42_1m,113
69,2206495,Ti4 Al8 O20,Al2O5Ti,"Al,O,Ti",Cmcm,63
70,7221255,Li2 Be2 Sb2,BeLiSb,"Be,Li,Sb",P6_3mc,186
71,8103999,Ga4 I12,GaI3,"Ga,I",P2_1/c,14
72,9003875,Mg3 H6 O6,H2MgO2,"H,Mg,O",P-3,147
73,2310103,Cs4 B36 O56,B9CsO14,"B,Cs,O",P4_122,91
74,9015178,Mg4 S8 O36,MgO9S2,"Mg,O,S",Pnma,62
75,4031685,U12 Te8 Se8,Se2Te2U3,"Se,Te,U",I-43d,220
76,7228735,In120.0016 Cu19.9984 S212,Cu19.9984In120.002S212,"Cu,In,S",Cc,9
77,2002257,Ca4 Cu2 O6,Ca2CuO3,"Ca,Cu,O",Immm,71
78,1537327,Ce4 S8 O40,CeO10S2,"Ce,O,S",P2_1/c,14
79,1539860,U12 Te16,Te4U3,"Te,U",I-43d,220
80,4116354,Cs8 Na16 Si136,CsNa2Si17,"Cs,Na,Si",Fd-3m,227
81,4343142,Ce3.2 Sm0.8 O7.52,Ce3.2O7.52Sm0.8,"Ce,O,Sm",Fm-3m,225
82,1010188,K4 Te2 Cl12,Cl6K2Te,"Cl,K,Te",I4/mmm,139
83,1537135,Rb3 Sb2 Br9,Br9Rb3Sb2,"Br,Rb,Sb",P-3m1,164
84,1523131,Li352 Pb80,Li22Pb5,"Li,Pb",F-43m,216
85,1510311,Th8 Au4,AuTh2,"Au,Th",I4/mcm,140
86,7220560,Mo4 Pb8 O20,MoO5Pb2,"Mo,O,Pb",C2/m,12
87,4343328,Al1 Cr3 B4,AlB4Cr3,"Al,B,Cr",Pmmm,47
88,1525174,Yb2 Cd2 In2,CdInYb,"Cd,In,Yb",P6_3/mmc,194
89,9006611,Fe1.82 Si0.18,Fe1.82Si0.18,"Fe,Si",Im-3m,229
90,1536333,Cd8 Te8 O28,Cd2O7Te2,"Cd,O,Te",P-1,2
91,2310230,Sm1 Pt3,Pt3Sm,"Pt,Sm",Pm-3m,221
92,9014963,Ni4 P8 O40,NiO10P2,"Ni,O,P",F-43m,216
93,1509908,Ba1 Ag5,Ag5Ba,"Ag,Ba",P6/mmm,191
94,1539912,Ta1 W1,TaW,"Ta,W",Im-3m,229
95,4343817,Zn4 Cl8,Cl2Zn,"Cl,Zn",Pna2_1,33
96,1511345,Ti3.2 B1.6 N2.4,B1.6N2.4Ti3.2,"B,N,Ti",Fm-3m,225
97,1560961,Nd4 P20 O56,NdO14P5,"Nd,O,P",P2_1/c,14
98,1524694,Dy1 Hg2,DyHg2,"Dy,Hg",P6/mmm,191
99,9003114,K4 Cl4,ClK,"Cl,K",Fm-3m,225
100,2106473,Ba16 Fe16 F80,BaF5Fe,"Ba,F,Fe",I4,79
101,1537400,Zn3 Pd3 F18,F6PdZn,"F,Pd,Zn",R-3,148
102,9007864,U4 C84 O4,C21OU,"C,O,U",P2_12_12_1,19
103,1529770,D4.14 Tb6 Br6,Br6H4.14Tb6,"Br,H,Tb",R-3m,166
104,9003240,K1.6 Na2.4 Cl4,Cl4K1.6Na2.4,"Cl,K,Na",Fm-3m,225
105,2214074,Sr24 Te24 O72,O3SrTe,"O,Sr,Te",C2,5
106,4001867,Er1 Ga3,ErGa3,"Er,Ga",Pm-3m,221
107,1537263,Rb12 As44,As11Rb3,"As,Rb",Pbcn,60
108,9006756,Mg4 O4,MgO,"Mg,O",Fm-3m,225
109,1008317,Sm6 S6 I6,ISSm,"I,S,Sm",R-3m,166
110,9006711,Ca4 O4,CaO,"Ca,O",Fm-3m,225
111,2218123,Hf4 Ge4 Te16,GeHfTe4,"Ge,Hf,Te",Cmc2_1,36
112,1539397,Y1 In1,InY,"In,Y",Pm-3m,221
113,4349767,Ce8 Ge12.368 Pt3.632,Ce8Ge12.368Pt3.632,"Ce,Ge,Pt",Pmma,51
114,1523115,Sc1 Ga3,Ga3Sc,"Ga,Sc",Pm-3m,221
115,2201249,Ti4 Cl16,Cl4Ti,"Cl,Ti",P2_1/c,14
116,1531540,Eu4 Mn8 O20,EuMn2O5,"Eu,Mn,O",Pbam,55
117,1536573,Fe7 P6 O24,Fe7O24P6,"Fe,O,P",P-1,2
118,1531826,Dy1 Ti0.3 Si1.7,DySi1.7Ti0.3,"Dy,Si,Ti",P6/mmm,191
119,1537841,Nb2 Ir2,IrNb,"Ir,Nb",P4/mmm,123
120,1526563,Na2 Li4 N2,Li2NNa,"Li,N,Na",Cmmm,65
121,1538001,Ta1 Ir3,Ir3Ta,"Ir,Ta",Pm-3m,221
122,1510492,Cu1 Au3,Au3Cu,"Au,Cu",Pm-3m,221
123,4105294,In4 Cu4 Se8,CuInSe2,"Cu,In,Se",I-42d,122
124,1523649,Ga1 Ni2.01 Pt0.99,GaNi2.01Pt0.99,"Ga,Ni,Pt",Pm-3m,221
125,9011181,Al6 B6 O18,AlBO3,"Al,B,O",R-3c,167
126,7222699,Na9.848 Eu14.152 Cl44,Cl44Eu14.152Na9.848,"Cl,Eu,Na",Pmmn,59
127,7222779,Sm3 Mg3 Pt3,MgPtSm,"Mg,Pt,Sm",P-62m,189
128,1564724,Mn5.37 Al20 Ni1.314,Al20Mn5.37Ni1.314,"Al,Mn,Ni",P6_3/mmc,194
129,4338923,Re18 S24 O54,O9Re3S4,"O,Re,S",R-3m,166
130,8103764,Bi16 Br8 O20,Bi4Br2O5,"Bi,Br,O",P2_1,4
131,9007426,Cu8 Cl4 O12,ClCu2O3,"Cl,Cu,O",Pnma,62
132,1531560,Rb4 Hf4 F20,F5HfRb,"F,Hf,Rb",P2_1/c,14
133,4000654,Yb4 In2 Ge4,Ge2InYb2,"Ge,In,Yb",P4/mbm,127
134,4517854,Mn1 Sn1 I3,I3MnSn,"I,Mn,Sn",Pm-3m,221
135,4343664,Bi48 Cl56,Bi6Cl7,"Bi,Cl",Pnnm,58
136,4312427,Sm2 Ga4 Pd4,Ga2Pd2Sm,"Ga,Pd,Sm",I4/mmm,139
137,9008853,In4 Sb4,InSb,"In,Sb",F-43m,216
138,7217215,Y6 Mn6 O18,MnO3Y,"Mn,O,Y",P6_3cm,185
139,1532428,Ho0.528 Fe3 Ge2.96,Fe3Ge2.96Ho0.528,"Fe,Ge,Ho",P6/mmm,191
140,1530470,U4 I12,I3U,"I,U",Cmcm,63
141,4124450,K8 H20 F28,F7H5K2,"F,H,K",P2_1/c,14
142,1522811,Pu8 Mn16,Mn2Pu,"Mn,Pu",Fd-3m,227
143,1531962,Li4 Mo4 S8,LiMoS2,"Li,Mo,S",P-1,2
144,1523522,Mn1 Ni1,MnNi,"Mn,Ni",P4/mmm,123
145,9010401,Mg8 Si8 O24,MgO3Si,"Mg,O,Si",P2_1/m,11
146,1528314,Ti4 I12,I3Ti,"I,Ti",Pmmn,59
147,8103860,K12 Hg3 As6,As2HgK4,"As,Hg,K",R-3m,166
148,9015563,P8 Pt4,P2Pt,"P,Pt",Pa-3,205
149,1535196,K24 Ta16 S88,K3S11Ta2,"K,S,Ta",C2/c,15
150,1539993,Fe4 Ge4 O24,FeGeO6,"Fe,Ge,O",P4_2/nnm,134
151,2238816,V4 Cd4 O14,Cd2O7V2,"Cd,O,V",P-1,2
152,1509564,Y1 Ag1,AgY,"Ag,Y",Pm-3m,221
153,1538532,Na3 Ti3 S6,NaS2Ti,"Na,S,Ti",R-3m,166
154,9016192,Zn4 Br8 N8,Br2N2Zn,"Br,N,Zn",Imma,74
155,9009611,Hg8 Sb2 O12,Hg4O6Sb,"Hg,O,Sb",Cm,8
156,9003990,Al8 Si4 O20,Al2O5Si,"Al,O,Si",Pnnm,58
157,4124776,Ba8 Fe8 O21,Ba8Fe8O21,"Ba,Fe,O",Pm-3m,221
158,1536989,Yb1 In5 Rh1,In5RhYb,"In,Rh,Yb",P4/mmm,123
159,4344616,Eu2 Ga6 Cu2,CuEuGa3,"Cu,Eu,Ga",I4mm,107
160,1523259,Ce1 Al3 Pt2,Al3CePt2,"Al,Ce,Pt",P6/mmm,191
161,1509891,Zr12 Ag16.0856 S32,Ag16.0856S32Zr12,"Ag,S,Zr",P4_332,212
162,4332944,Ho1.164 Fe4 Si9.86,Fe4Ho1.164Si9.86,"Fe,Ho,Si",P6_3/mmc,194
163,2311054,Tm1 Tl3,Tl3Tm,"Tl,Tm",Pm-3m,221
164,1509747,Ag2.8 Hg1.2,Ag2.8Hg1.2,"Ag,Hg",Fm-3m,225
165,1536328,Ti9.452 Sb6 Pt1.302,Pt1.302Sb6Ti9.452,"Pt,Sb,Ti",P6_3/mcm,193
166,1535653,In8 C24,C3In,"C,In",Pm-3m,221
167,9015323,Tb2.025 Bi6.975 O13.5,Bi6.975O13.5Tb2.025,"Bi,O,Tb",R-3m,166
168,1524257,La0.5 Ce0.5 Sn3,Ce0.5La0.5Sn3,"Ce,La,Sn",Pm-3m,221
169,1534392,Na20 Nb4 O20,Na5NbO5,"Na,Nb,O",C2/c,15
170,9011007,K2,K,K,Im-3m,229
171,2106610,Sc4 Se12 O36,O9ScSe3,"O,Sc,Se",Cc,9
172,1566208,Ag3 Pd33.515 Se30,Ag3Pd33.515Se30,"Ag,Pd,Se",Pm-3m,221
173,2310476,Cr2 Cl4,Cl2Cr,"Cl,Cr",Pnnm,58
174,1523514,Ti1 Re0.5 Os0.5,Os0.5Re0.5Ti,"Os,Re,Ti",Pm-3m,221
175,4316496,Cs2 Np4 Se12,CsNp2Se6,"Cs,Np,Se",Immm,71
176,1533058,Nd8 Si20 Os12,Nd2Os3Si5,"Nd,Os,Si",P4/mnc,128
177,1511416,Ho10 Si3.884 B16,B16Ho10Si3.884,"B,Ho,Si",P4/mbm,127
178,8103891,Yb4 Al32 Co8,Al8Co2Yb,"Al,Co,Yb",Pbam,55
179,4323888,Zr18 Ni4 P8,Ni2P4Zr9,"Ni,P,Zr",P4/mbm,127
180,9011658,Ga2 N2,GaN,"Ga,N",P6_3mc,186
181,1535979,Yb12 Ge4 O4,GeOYb3,"Ge,O,Yb",Pnma,62
182,1534173,Nd16 C24,C3Nd2,"C,Nd",I-43d,220
183,4031521,Ag28 N4 O44.0072,Ag28N4O44.0072,"Ag,N,O",Fm-3m,225
184,9016191,Be16 B8 O32,BBe2O4,"B,Be,O",Pbca,61
185,1521017,Eu3 Cu12 As6,As2Cu4Eu,"As,Cu,Eu",R-3m,166
186,4118669,Cr4 N12 O32,CrN3O8,"Cr,N,O",P1,1
187,1526587,K2 Sn2 N6,KN3Sn,"K,N,Sn",P-3,147
188,4024431,Zr4 H192 C176,C44H48Zr,"C,H,Zr",P2_1/c,14
189,1510799,Sr8 B8 O20,B2O5Sr2,"B,O,Sr",P2_1/c,14
190,1528920,La6 Co8 Sn26,Co4La3Sn13,"Co,La,Sn",Pm-3n,223
191,1525485,Er1 Ga2,ErGa2,"Er,Ga",P6/mmm,191
192,1540276,Zr2 Si2 Te2,SiTeZr,"Si,Te,Zr",P4/nmm,129
193,9014517,Cs20 Co20 F80,CoCsF4,"Co,Cs,F",I-4c2,120
194,2002308,Ti8.0 Co4.0 O20,CoO5Ti2,"Co,O,Ti",Cmcm,63
195,4302643,K12 In4 Au20,Au5InK3,"Au,In,K",Imma,74
196,1525488,Dy4 In2,Dy2In,"Dy,In",P6_3/mmc,194
197,1521781,Ca6 Si2 Br4,Br2Ca3Si,"Br,Ca,Si",I4/mmm,139
198,1523724,Rh1.616 W0.384,Rh1.616W0.384,"Rh,W",P6_3/mmc,194
199,9005317,Al8 Ge4 O24,Al2GeO6,"Al,Ge,O",Pnma,62
200,2104771,Ga8 Bi4 O18,Bi2Ga4O9,"Bi,Ga,O",Pbam,55
201,2106976,Sr2 Be6 O8,Be3O4Sr,"Be,O,Sr",P-62c,190
202,1563210,La6 Sn14,La3Sn7,"La,Sn",Cmmm,65
203,1524593,Eu8 Rh16,EuRh2,"Eu,Rh",Fd-3m,227
204,4124799,Pb12 N72,N6Pb,"N,Pb",Pna2_1,33
205,4001970,Gd18 Eu2 Ge16,EuGd9Ge8,"Eu,Gd,Ge",P2_1/c,14
206,2102072,Bi48 Cl20 O62,Bi24Cl10O31,"Bi,Cl,O",P2/c,13
207,1526725,Ho4 Si4 Ir4,HoIrSi,"Ho,Ir,Si",Pnma,62
208,1537973,Mn4 Sb4 Pt4,MnPtSb,"Mn,Pt,Sb",F-43m,216
209,1524019,La1 In1.5 Cu0.5,Cu0.5In1.5La,"Cu,In,La",P6/mmm,191
210,1535323,Ho4 Al6 Si4,Al3Ho2Si2,"Al,Ho,Si",C2/m,12
211,4344299,Cs6 Y4 I18,Cs3I9Y2,"Cs,I,Y",P6_3/mmc,194
212,1527178,Pr8 Mn8 Ga8,GaMnPr,"Ga,Mn,Pr",Fd-3m,227
213,1008665,Li4 Cu2 O4,CuLi2O2,"Cu,Li,O",Immm,71
214,4308611,K8 H40 C40,C5H5K,"C,H,K",P-42_1c,114
215,2106236,Hg24 Cl16 O16,Cl2Hg3O2,"Cl,Hg,O",P2_1/c,14
216,2103172,Nd4 C52 O8,C13NdO2,"C,Nd,O",P-1,2
217,9004000,Fe6.72 Ni9.28 P4,Fe6.72Ni9.28P4,"Fe,Ni,P",P2_13,198
218,2104468,Sr80 Ga48 O152,Ga6O19Sr10,"Ga,O,Sr",C2/c,15
219,1541566,Na2 Bi2 S4,BiNaS2,"Bi,Na,S",Fm-3m,225
220,4325765,Na24 Cd64 Au28,Au7Cd16Na6,"Au,Cd,Na",Fm-3m,225
221,1541203,Pr4 Nb20 O56,Nb5O14Pr,"Nb,O,Pr",Pmmn,59
222,9012052,Cr16 Cd8 O32,CdCr2O4,"Cd,Cr,O",Fd-3m,227
223,4314514,Ho8 Ga24 Fe2,FeGa12Ho4,"Fe,Ga,Ho",Im-3m,229
224,4344325,Y10.668 Se16,Se16Y10.668,"Se,Y",I-43d,220
225,1510639,V0.5 Cr0.5 B2,B2Cr0.5V0.5,"B,Cr,V",P6/mmm,191
226,1527720,Y1 Zn5,YZn5,"Y,Zn",P6/mmm,191
227,7221109,Hf8 Zn16,HfZn2,"Hf,Zn",Fd-3m,227
228,1010920,Cu6 S6,CuS,"Cu,S",P6_3/mmc,194
229,9014426,Mn6 N2.58,Mn6N2.58,"Mn,N",P6_322,182
230,1011319,Nb4 N4,NNb,"N,Nb",Fm-3m,225
231,1527740,Sr12 Ir12 O36,IrO3Sr,"Ir,O,Sr",C2/c,15
232,4106340,Tl12 Se2 I8,I4SeTl6,"I,Se,Tl",P4/mnc,128
233,9002900,Co6 Sb12 O108,CoO18Sb2,"Co,O,Sb",P3,143
234,1546071,Al8 Pb12 F48,Al2F12Pb3,"Al,F,Pb",P2_1/c,14
235,8103545,Sr1 U1 O3.598,O3.598SrU,"O,Sr,U",R-3m,166
236,8103047,Pr4 B4 S12,BPrS3,"B,Pr,S",Pna2_1,33
237,1518102,Na12 Ta24 O66,Na2O11Ta4,"Na,O,Ta",R-3c,167
238,2100653,Fe6 F18,F3Fe,"F,Fe",R-3c,167
239,1538706,Ho1 Hg1,HgHo,"Hg,Ho",Pm-3m,221
240,4002627,Hf6.48 Fe16 Sn1.52,Fe16Hf6.48Sn1.52,"Fe,Hf,Sn",Fd-3m,227
241,7702913,Nd8 B23.99808 H95.99232,B23.9981H95.9923Nd8,"B,H,Nd",Fm-3c,226
242,2243664,Co12 P7,Co12P7,"Co,P",P-6,174
243,4001253,Ba8 In20 As20,As5Ba2In5,"As,Ba,In",Pnma,62
244,4307823,Ce6 Ni18,CeNi3,"Ce,Ni",P6_3/mmc,194
245,9000822,U4 Si4 O28,O7SiU,"O,Si,U",Amm2,38
246,4344491,Tm1 Si2,Si2Tm,"Si,Tm",P6/mmm,191
247,9012973,Ni4,Ni,Ni,Fm-3m,225
248,1511630,U8 Ni84 B24,B6Ni21U2,"B,Ni,U",Fm-3m,225
249,9013906,Mg2 W2 O8,MgO4W,"Mg,O,W",P2/c,13
250,4089436,H104 Ir4 C72,C18H26Ir,"C,H,Ir",P-1,2
251,4109719,Sc6 Co2 C8,C4CoSc3,"C,Co,Sc",Immm,71
252,1534739,Rb12 P12 O36,O3PRb,"O,P,Rb",P2_1/c,14
253,1009049,Mn6 Rh2 N0.4,Mn6N0.4Rh2,"Mn,N,Rh",P6_3/mmc,194
254,4113921,Fe8,Fe,Fe,Pmmm,47
255,1527735,Ba2 O2,BaO,"Ba,O",P4/nmm,129
256,1523688,Ta2 Ni4,Ni2Ta,"Ni,Ta",I4/mmm,139
257,1531509,Rb6 Mn2 F14,F7MnRb3,"F,Mn,Rb",P4/mbm,127
258,1509795,Eu2 Si4 Ag4,Ag2EuSi2,"Ag,Eu,Si",I4/mmm,139
259,4309806,Yb6 N8 O49,N8O49Yb6,"N,O,Yb",P-1,2
260,4123983,Ta6 Sn2,SnTa3,"Sn,Ta",Pm-3n,223
261,2310275,Dy8 Pt16,DyPt2,"Dy,Pt",Fd-3m,227
262,1538614,Li56 Ni8 N32,Li7N4Ni,"Li,N,Ni",P-43n,218
263,1527102,Tb3 Mn3.01 Ga2.99,Ga2.99Mn3.01Tb3,"Ga,Mn,Tb",P-62m,189
264,1540261,Cd4 Te0.8 S3.2,Cd4S3.2Te0.8,"Cd,S,Te",F-43m,216
265,1567371,Mo4 C24 O24,C6MoO6,"C,Mo,O",Pnma,62
266,1530945,Rb8 U4 Br24,Br6Rb2U,"Br,Rb,U",Fm-3m,225
267,4320809,Na4 Cl4,ClNa,"Cl,Na",Fm-3m,225
268,2006589,Cu12 Mo8 O36,Cu3Mo2O9,"Cu,Mo,O",Pnma,62
269,1540989,Pr0.12 Pd3.88,Pd3.88Pr0.12,"Pd,Pr",Fm-3m,225
270,1519038,Re12 S8.38 Br19.62,Br19.62Re12S8.38,"Br,Re,S",P-1,2
271,1537850,Nd10.668 Se16,Nd10.668Se16,"Nd,Se",I-43d,220
272,2106579,Ga24 Fe18,Fe3Ga4,"Fe,Ga",C2/m,12
273,1545872,Pr4 Zr8 F44,F11PrZr2,"F,Pr,Zr",Ibam,72
274,1008371,Bi8 P16 O52,Bi2O13P4,"Bi,O,P",C2/c,15
275,1560914,Gd4 P20 O56,GdO14P5,"Gd,O,P",P2_1/c,14
276,1538488,Li6 Ge3 F18,F6GeLi2,"F,Ge,Li",P321,150
277,9009917,As4 Os2,As2Os,"As,Os",Pnnm,58
278,9012548,Nd18 C18 O72,CNdO4,"C,Nd,O",P-6,174
279,1537519,Mo36 O104,Mo9O26,"Mo,O",P-1,2
280,4301514,Ba8 Ga16 O48,BaGa2O6,"Ba,Ga,O",Pbca,61
281,1529235,Nd4 S2 O12,Nd2O6S,"Nd,O,S",I222,23
282,1535795,Bi4 S4 Br4,BiBrS,"Bi,Br,S",Pnma,62
283,1538557,La1 Ce1 F6,CeF6La,"Ce,F,La",P6_3/mmc,194
284,1525078,Zr8 V14.56 Co1.44,Co1.44V14.56Zr8,"Co,V,Zr",Fd-3m,227
285,1539261,Zr4 Ru8,Ru2Zr,"Ru,Zr",P6_3/mmc,194
286,1538468,Ga4 Sb4 Cl24,Cl6GaSb,"Cl,Ga,Sb",P2_1/c,14
287,2310433,Pb4 O4,OPb,"O,Pb",Pbcm,57
288,2310983,Sr8 Ir16,Ir2Sr,"Ir,Sr",Fd-3m,227
289,1522963,Nb5.82 Sn2 Mo0.18,Mo0.18Nb5.82Sn2,"Mo,Nb,Sn",Pm-3n,223
290,4001135,Gd4 Sn4.676 Ge3.324,Gd4Ge3.324Sn4.676,"Gd,Ge,Sn",Cmcm,63
291,1537277,Li0.6 V3.48 O6,Li0.6O6V3.48,"Li,O,V",R-3m,166
292,1509879,Rb4 Ag16.104 I20,Ag16.104I20Rb4,"Ag,I,Rb",P4_132,213
293,1011336,Fe4 B4,BFe,"B,Fe",Pnma,62
294,2002133,Ba8 In4 O14,Ba4In2O7,"Ba,In,O",I4/mmm,139
295,1501529,W1 C1,CW,"C,W",P-6m2,187
296,1530320,Pb4 Cl7.72,Cl7.72Pb4,"Cl,Pb",Pnma,62
297,8104137,Rb6 Nb4 Br18,Br9Nb2Rb3,"Br,Nb,Rb",P6_3/mmc,194
298,2106088,Sc88 Os32,Os4Sc11,"Os,Sc",Fm-3m,225
299,1537246,Eu24 P32,Eu3P4,"Eu,P",Fdd2,43
300,1527636,Ce8 Ni4 Ru12,Ce2NiRu3,"Ce,Ni,Ru",Fd-3m,227
301,1536155,Tb3 Ga9 Os3,Ga3OsTb,"Ga,Os,Tb",Pm-3m,221
302,9014969,Rb4 Se4,RbSe,"Rb,Se",Fm-3m,225
303,1540058,Tm2,Tm,Tm,P6_3/mmc,194
304,4031692,Sn4 Te4,SnTe,"Sn,Te",Fm-3m,225
305,1538859,Zr10 Re48,Re24Zr5,"Re,Zr",I-43m,217
306,4003430,Al32 P32 O128,AlO4P,"Al,O,P",Iba2,45
307,9014129,Mg4 S4 O32,MgO8S,"Mg,O,S",C2/c,15
308,1008703,Ba1.296 Ga21.596 O33.68,Ba1.296Ga21.596O33.68,"Ba,Ga,O",P6_3/mmc,194
309,9011671,Ag4 Cl4,AgCl,"Ag,Cl",Fm-3m,225
310,1537331,Ga8 I12,Ga2I3,"Ga,I",P2_1/c,14
311,1508999,Sr2 Ga6.84 Ag1.16,Ag1.16Ga6.84Sr2,"Ag,Ga,Sr",I4/mmm,139
312,1509364,Gd4 Ag4 Se8,AgGdSe2,"Ag,Gd,Se",I4_1md,109
313,1525176,Ce2 Sb2 Pt2,CePtSb,"Ce,Pt,Sb",P6_3/mmc,194
314,1539054,La1 Pb3,LaPb3,"La,Pb",Pm-3m,221
